u_nickname,u_url,m_content,m_content_url,m_content_id,m_images,m_videos,r_comment_num,g_publish_time,r_like_num,r_trans_num,verified,u_id,u_desc,u_fans,u_follow,u_login_time,u_area
Sen. Marsha Blackburn,https://twitter.com/MarshaBlackburn,"I introduced the Stop COVID Act to give all Americans the ability to sue China in U.S. courts for the damage they¡¯ve inflicted on our country. 
https://t.co/hje18SMzu7",,1257725739262259202,['http://pbs.twimg.com/media/EW-B6uYWsAAdNEB.jpg'],https://twitter.com/MarshaBlackburn/status/1257122548187303936/video/1,5374,2020-05-06 01:35:58,1639,550,1,278145569,I am honored to serve the people of Tennessee.,289154,2184,2011-04-07 02:05:33,"Brentwood, TN"
Chris Murphy,https://twitter.com/ChrisMurphyCT,"I just don¡¯t understand why Trump wants a fight over China. 

His dumb trade war cost us 300,000 jobs.

He was the world¡¯s top apologist for China¡¯s Coronavirus response in the critical early days.

And he owes the Bank of China millions.

How does focus on China policy help him?",,1260006464632086530,,,474,2020-05-12 08:38:45,5338,1389,1,150078976,U.S. Senator from Connecticut.,1032766,216,2010-05-31 09:22:43,
Solomon Yue,https://twitter.com/SolomonYue,"I just learned Polish freedom fighters launched this We the People Petition 2 President Donald Trump 2 hold China's gov't accountable 4 the coronavirus. Making China 2 pay 4 #ChineseVirus reparations is already a global movement. You must sign it 2 support
https://t.co/gOCzDhcJeu https://t.co/NCQikgBXzo",,1242996414428246017,['http://pbs.twimg.com/media/ET__TP_U4AAH549.jpg'],,247,2020-03-26 10:06:53,3566,2876,0,1339488762,"Vice Chairman & CEO at Republicans Overseas, RNC Member since 2000, Co-founder of RNC Republican National Conservative Caucus & Conservative Steering Committee",186191,551,2013-04-09 23:38:48,"Salem, Oregon, USA"
Rahul Gandhi,https://twitter.com/RahulGandhi,"I kept warning them on Covid19 and the economy. They rubbished it. 

Disaster followed. 

I keep warning them on China. They¡¯re rubbishing it.",,1286549756043501569,,,6079,2020-07-24 14:32:19,69815,17194,1,3171712086,This is the official account of Rahul Gandhi | Member of the Indian National Congress| Member of Parliament,17426462,282,2015-04-25 14:39:15,"12, Tughlak Lane, New Delhi"
Randy Hillier,https://twitter.com/randyhillier,I know of 3 Canadian citizens held against their will in detention- how many other Canadians? Sound like the 2 Michael¡¯s detained in China. WARMINGTON: Man in forced detention in a Canada COVID camp https://t.co/jpHH2O4H7d #onpoli #nomorelockdowns,,1356776467066200064,,,139,2021-02-03 09:28:12,813,471,1,23540244,"Independent Member for Lanark-Frontenac-Kingston. True believer of Freedom, Justice and Democracy. I block all pseudonyms",28417,1555,2009-03-10 09:51:11,"Perth, Ontario"
Benedict Rogers __Ë¹,https://twitter.com/benedictrogers,"I love #Taiwan

a) They are a champion of democracy &amp; human rights
b) They fought #coronavirus amazingly, with no #WHO help
c) Now they are DONATING masks 

Taiwan is the real China. If we want a ONE China policy, let China come under Taiwan's system :)

https://t.co/S9H6I2x6Wc",,1245252899489415168,,,215,2020-04-01 15:33:21,2830,1323,1,49035671,"Chief Executive & founder, Hong Kong Watch; Senior Analyst, CSW; cofounder, Conservative Party Human Rights Commission; IPAC. Activist & writer. Tweets personal",93255,7352,2009-06-20 23:43:49,London
Marc,https://twitter.com/Proven_Right,"I love Trump.
I hate the press.
China is our enemy.
Covid is overblown.
Obama is a traitor.
Dems are treasonous.

Anything else?",,1264292140328251392,,,108,2020-05-24 04:28:30,320,149,0,7.79126E+17,"True Patriot. Always telling it like it is, with a sense of humor.",17287,17352,2016-09-23 09:10:57,On the right side
Renee Lynn,https://twitter.com/Voice_For_India,"I love taking trains in India, it's so much fun. I miss India so much, been too long! Planning to come to India soon, nothing will stop me, no China Virus, no fears. I miss My Motherland #MeraGhar. I will always have that umbilical cord attached. Do you love the trains in India? https://t.co/uJsBEVVTvq",,1355877960859971584,['http://pbs.twimg.com/media/EtELFBWW8AQOOLd.jpg'],,148,2021-01-31 21:57:51,3535,425,0,9.23326E+17,"Activist, Author, Columnist & Founder ýVoice for India.
Join the https://t.co/oSlJ8O8UXe
India Icon Award in Activism",110875,354,2017-10-26 07:10:17,"New Jersey, USA & Delhi, India"
CHIZ ,https://twitter.com/CHIZMAGA,I love when President Trump calls it the China Virus.,,1292288337059803136,,,115,2020-08-09 10:35:23,1743,361,0,34756550,,121380,56102,2009-04-24 06:40:57,"San Diego, CA"
9jaSavage _ _,https://twitter.com/iam__remy,I made a tweet about why Covid-19 left china fast and the measures they took to make that happen. All i saw in the replies was ¡°it¡¯s their virus¡± ¡°they are hiding things¡± etc. CHINA WARNED THE WHOLE WORLD SINCE DECEMBER ABOUT THE VIRUS BUT NOBODY LISTENED. A thread,,1259159997507948544,,,103,2020-05-10 00:35:12,704,216,0,9.3797E+17,REMY _ content creator _ Wanna promote? hit my DM or Email: udehchibuike7@gmail.com _ check my likes,57610,13642,2017-12-05 17:01:32,American by force 
Tedros Adhanom Ghebreyesus,https://twitter.com/DrTedros,"I met with Yi Wang, Foreign Minister of #China, at #MSC2020. He updated me on the #COVID19 response &amp; expressed ",,1228652815003914242,['http://pbs.twimg.com/media/EQ0NOI4XkAE5bYp.jpg'],,187,2020-02-15 20:10:33,674,202,1,189868631,Director-General of the World Health Organization,1409506,1101,2010-09-12 21:09:27,"Geneva, Switzerland"
Brit Hume,https://twitter.com/brithume,"I missed this the other day. It¡¯s very good, especially on U.S. vs China: Gallup finds 60% of voters approve of Trump¡¯s handling of the coronavirus crisis. As usual, the establishment is clueless, writes @wrmead https://t.co/fHBdnWtvRN",,1244369406383267844,,,261,2020-03-30 05:02:40,3218,938,1,112047805,"Sr. Political Analyst, Fox News Channel. Arguments welcome. Name callers & verbal abusers blocked. Parler Acct: BritHumeFoxNews",1158666,827,2010-02-07 10:55:13,Southwest Florida
Thom Tillis,https://twitter.com/ThomTillis,I proposed an 18-point plan to hold China accountable for COVID-19 - because we need real action to avoid another pandemic like this in the future. https://t.co/Usi9JjaLdP,,1296940096374046725,['http://pbs.twimg.com/ext_tw_video_thumb/1296940000945360901/pu/img/t8cPsSCRnw_rGgtZ.jpg'],https://twitter.com/ThomTillis/status/1296940096374046725/video/1,222,2020-08-22 06:39:49,917,832,1,22195441,Husband to Susan. Father to Lindsay and Ryan. Papa to Sawyer. Senator to North Carolina.,41220,6440,2009-02-28 05:49:53,"Huntersville, North Carolina"
Tobias Ellwood MP,https://twitter.com/Tobias_Ellwood,"I question China¡¯s figures.

Chinese social media suggest death toll on Wuhan was ~40k based on the recent dramatic jump in cremations.
Until the WHO is able to gain unfettered access to verify I believe we should treat all Chinese Coronavirus data with extreme scepticism. https://t.co/2EtayJxzDe",,1245371987851165698,['http://pbs.twimg.com/media/EUhzNmrXQAA5SOU.jpg'],,206,2020-04-01 23:26:34,1290,551,1,482866177,"Conservative MP for Bournemouth East,  Chair of the House of Commons Defence Select Committee",60338,772,2012-02-04 19:42:47,Bournemouth East
BrooklynDad_Defiant!,https://twitter.com/mmpadellan,"I refuse to congratulate trump for FINALLY doing the right thing by telling people to wear a mask.

He stigmatized it.
He politicized it.
He ridiculed it.

And he packaged it AGAIN with his racist ""China Virus"" branding. Nah, no credit for being a partial jackass.",,1285306708034818050,,,273,2020-07-21 04:12:53,9158,1784,0,1640929196,"Proud papa. Perpetually pissed.
#BlueWave2020, #Feminist. 
#TheResistance, #BLM, #GoJoe!

Author of The Liddle'est President.
Sr. Advisor, @ReallyAmerican1",886569,42166,2013-08-03 01:20:38,"Brooklyn, NY"
Dhruv Rathee ,https://twitter.com/dhruv_rathee,"I released a video on Coronavirus on 6th Feb

In that video I said that coronavirus was limited to China. At that time, it was true. Now some BJP dogs like Vivek Agnihotri are taking clip from old video and passing it off as a recent statement

Watch latest video for updated info",,1242117641180975107,,,5093,2020-03-23 23:54:57,17190,2768,0,7.30521E+17,YouTuber: 4 million+ subs__Activism for a better world _ Traveller _ Politically Centrist _ Vegetarian _ Be the change you want to see,996579,543,2016-05-12 06:10:52,
Katie Pavlich,https://twitter.com/KatiePavlich,"I see Pelosi is allowed call it the ¡°Trump virus¡± but President Trump isn¡¯t allowed to call it, factually, the ¡°China virus.¡±",,1285996695084503042,,,2364,2020-07-23 01:54:39,37163,8717,1,48459553,Born free ,794500,1842,2009-06-19 03:29:32,On Instagram/Off Twitter wknds
Santiago Mayer,https://twitter.com/santiagomayer_,"I see that the Conservatives are once again pushing their idiotic ¡°China Virus¡± hashtag.

Can we get #TrumpVirus trending?",,1265037005097848832,,,133,2020-05-26 05:48:19,986,301,0,4327127414,Executive Director @VotersTomorrow | Immigrant ,74705,2763,2015-11-23 05:37:42,
Cyril Ramaphosa ,https://twitter.com/CyrilRamaphosa,"I spoke to President Vladimir Putin and asked for technical expertise on infection control, supply of lifesaving  equipment for mobile testing &amp; infection control. South Africa has a long friendship with Russia &amp; they have supported China, Italy &amp; US in the fight against #COVID19 https://t.co/Dofex0K2ee",,1246451829099188229,['http://pbs.twimg.com/media/EUxJUHPXYAMra-C.jpg'],,1511,2020-04-04 22:57:28,9810,1862,1,2987156301,President of the African National Congress. President of the Republic of South Africa. Chairperson of the African Union.,1819095,7,2015-01-20 20:11:37,South Africa
Secretary Pompeo,https://twitter.com/SecPompeo,"I spoke today with Politburo Director Yang Jiechi about the evacuation from Wuhan. As always, our number one priority is protecting American citizens in times of crisis. We are sparing no effort to protect our people and help #China contain the #coronavirus outbreak.",,1222519933822742529,,,435,2020-01-29 22:00:40,3048,710,1,9.88573E+17,"This account has been archived. You can follow former U.S. Secretary of State Mike Pompeo at @mikepompeo. For U.S. State Department updates, follow @StateDept.",3071414,48,2018-04-24 08:20:22,
Mike Cernovich,https://twitter.com/Cernovich,"I think Trump mishandled coronavirus and was late, and that is also true of the media and Democrat's handling of it.

China's control over the media, Republicans, and Democrats alike was revealed.",,1282527499071614977,,,247,2020-07-13 12:09:18,1240,152,1,358545917,Journalist who first sued to unseal the court records in Jeffrey Epstein case - and won.,669314,2886,2011-08-20 11:02:29,"Orange County, California"
thebradfordfile,https://twitter.com/thebradfordfile,"I thought it was odd that Joe Biden is against saying ""Wuhan virus"" but then I remembered Hunter Biden flew with his VP daddy on Air Force Two to close a $1.5 billion deal with the Chinese. 

China OWNS Joe Biden.",,1238281789686366213,,,324,2020-03-13 09:52:39,11795,3594,0,3406938525,liberal hypocrisy is a disease,239839,1229,2015-08-07 17:28:17,America
Mollie,https://twitter.com/MZHemingway,"I understand why Communist China wants to avoid responsibility for unleashing the Wuhan Virus on the world and mismanaging it as it spread, but unseemly that some American politicians and media figures are supporting China's disinformation campaign.",,1237934452904525825,,,1116,2020-03-12 10:52:27,16480,5332,1,18005085,"Senior Editor, @FDRLST. Senior Journalism Fellow, @Hillsdale. Fox News Contributor.",595068,1281,2008-12-10 06:44:12,Justice on Trial: The Kavanaugh Confirmation and the Future of the Supreme Court
Andrew Scheer,https://twitter.com/AndrewScheer,I view anything coming from the government of China with a great deal of suspicion and skepticism. All countries must openly and transparently report their COVID-19 numbers to the WHO so countries like Canada can make decisions based on the very best science and evidence. https://t.co/fcYs8DOsS8,,1245519612680253444,['http://pbs.twimg.com/amplify_video_thumb/1245507399705919489/img/T7BtXzyqeKm9ziQp.jpg'],https://twitter.com/AndrewScheer/status/1245519612680253444/video/1,324,2020-04-02 09:13:10,2515,1282,1,256360738,Regina¡ªQu'Appelle MP. 2nd Conservative Party Leader and 35th HOC Speaker. Principled Conservative. Defender of economic freedom and human rights.,220976,381,2011-02-23 12:52:31,Canada
Tom Cotton,https://twitter.com/SenTomCotton,I want to commend @realDonaldTrump for shutting down travel from China. That was the most important preventative step we could have taken. WATCH my interview with @MariaBartiromo on coronavirus: https://t.co/aPa347oFQk,,1229151761186934784,,,220,2020-02-17 05:13:11,2217,550,1,968650362,U.S. Senator proudly serving the state of Arkansas.,362322,353,2012-11-25 03:33:10,
John Bolton,https://twitter.com/AmbJohnBolton,"I want to join @wsj in congratulating Taiwan¡¯s excellent covid-19 response which stands as a stark contrast to mainland China which, with the help of @WHO, lied &amp; covered up the truth. Taipei deserves better treatment &amp; financial support from the US https://t.co/KXVsHNASQ7",,1255103641524088832,,,377,2020-04-28 19:56:41,1409,411,1,118756393,Former Assistant to the President for National Security Affairs (NSA),855975,1194,2010-03-02 01:18:27,"Washington, DC"
Jack Posobiec ,https://twitter.com/JackPosobiec,"I was on @OANN calling for a travel ban over coronavirus in January when Dr Fauci was doing interviews telling people it wasn't human to human transmittable and thanking Beijing for their transparency 

I'm no immunologist, but I do pay attention to China",,1249498633441030145,,,120,2020-04-13 08:44:23,5727,1761,1,592730371,"Christian, China analyst, veteran",1186392,935,2012-05-28 21:31:22,Rent-free in your head
Kambree,https://twitter.com/KamVTV,"I wear a mask from China to protect me from a virus that came from China at Walmart where I¡¯m buying crap from China. 

You can¡¯t make this up, y¡¯all.",,1292618386392768512,,,389,2020-08-10 08:26:53,12221,2568,1,3995778614,Kambree Kawahine Koa _ Texas born and raised _New recovering California Refugee _,343726,1768,2015-10-24 06:32:20,"Dallas, TX"
Rahul Gandhi,https://twitter.com/RahulGandhi,"I will keep repeating this. 

The #coronavirus is a huge problem. Ignoring the problem is a non solution. The Indian economy will be destroyed if strong action is not taken. The government is in a stupor.",,1238331274726486017,,,7786,2020-03-13 13:09:17,40929,9700,1,3171712086,This is the official account of Rahul Gandhi | Member of the Indian National Congress| Member of Parliament,17426462,282,2015-04-25 14:39:15,"12, Tughlak Lane, New Delhi"
Martha McSally,https://twitter.com/MarthaMcSallyAZ,"I will never back down to Communists. They can threaten me, but the world knows the truth: China unleashed COVID19, lied about it &amp; must be held accountable. The Chinese gov't doesn¡¯t know who they're dealing with if they think I¡¯m going to be intimidated! https://t.co/dtWpOGVwyS",,1261013584001159168,,,102,2020-05-15 03:20:41,877,333,1,482450423,Ret. Colonel & 1st @usairforce woman to fly in combat. Currently represent Arizona in the United States Senate.,28553,187,2012-02-04 06:46:04,Tucson AZ
Susan Eacock __Boris,https://twitter.com/SusanEacock,"I wonder how many people blaming #BorisJohnson for covid have been buying goods made in #China? Whilst world struggles to contain #COVID19 China is flooding markets  with rubbish and fake goods!  #ChinaVirus not @BorisJohnson fault the fault lies at China¡¯s door, not number 10",,1340408497205329920,,,147,2020-12-20 05:27:43,1527,293,0,302665348,Have beautiful Yorkie called JJ. A person who has never owned a dog has missed a wonderful part of life. Boris & Tory supporter. No DM¡¯s please will block you,15205,14469,2011-05-21 23:18:52,Redditch UK
Jeff Greenfield,https://twitter.com/greenfield64,"I would bet several of my favorite body parts that Trump will announce that a vaccine has been created/found/tested that will wipe out the ""China virus"" sometime before election day...no matter what the reality is.",,1302653210784534528,,,153,2020-09-07 01:01:42,1919,243,1,262223982,"30 Years political analyst, ABC, CNN, CBS, PBS. Author of 14 books. POLITICO Mag columnist.",77438,646,2011-03-08 00:36:20,
Charles V Payne,https://twitter.com/cvpayne,"I would love questions about Biden - all of these are questions about their articles and disdain for Trump.

Do any of these reporters care about how Biden will
cure Covid19
fix economy
bring world peace
close income gap
create jobs
increase wages
stop China
heal race relations",,1301935678750588929,,,152,2020-09-05 01:30:29,1273,503,1,19400611,"Trying to make sense of this world while becoming the man my mother raised- I give a damn, love my family and country...and making people $$$$",535344,14028,2009-01-24 00:21:40,New Jersey & New York
Ashley StClair ,https://twitter.com/stclairashley,I would rather put my left arm in a panini press than get a China virus vaccine.,,1286413449006702593,,,122,2020-07-24 05:30:41,2121,184,0,2874102076,Producer. Patriot. Occasionally funny. Press & business inquiries: ashleystclairpress@protonmail.com,358813,844,2014-11-13 02:29:17,"New York, NY"
Kevin B,https://twitter.com/kevinonchina,"I wrote a piece about how memories in China often disappear soon after they're formed. 

I give an overview of ""collective amnesia"" in China and then discuss how people forgot about the origin of the coronavirus outbreak. 

https://t.co/5faRlizdYN",,1284654132041662464,,,183,2020-07-19 08:59:47,535,163,0,109172055,"Lover of languages
ÖÐÎÄ / ÈÕ±¾_ / espa_ol
Is this still 2020?
Essays: https://t.co/aY5Pq1dgoi",40260,406,2010-01-28 13:22:39,
Jolene,https://twitter.com/JoleneMcEntire,I'm even skeptical that the dirty Dems colluded with China on COVID-19 to destroy America's economy. Remember Trump had greatest economy in history and was crippling China in trade war when released from Wuhan.,,1327132263386112002,,,118,2020-11-13 14:12:43,632,168,0,8.7662E+17,Think for yourself. Seek truth. Educate. Create. Have fun. Don't be a dick. Don't be sinister. Have an opinion. Be flexible. Be curious. Be strong. #Crypto,1510,920,2017-06-19 09:56:44,"Seattle, WA"
_,https://twitter.com/Bellaasays2,"I'm gonna die to watch this heartbreaking video of a Dad crying to see his baby infected with coronavirus in Wuhan, China.
Please pray for them",,1224356286252376064,['http://pbs.twimg.com/ext_tw_video_thumb/1224356153469083648/pu/img/QeeL5nCrY2p132k5.jpg'],https://twitter.com/Bellaasays2/status/1224356286252376064/video/1,234,2020-02-03 23:37:40,1907,1402,0,1.20209E+18,@quill_lifelight is my diary. Let's retweet and follow for good_ I don't own the videos I post.,13981,10392,2019-12-04 12:54:11,
Joe Biden,https://twitter.com/JoeBiden,"I'm in Toledo, Ohio, to discuss my plans to build the economy back better for working families. Tune in. https://t.co/MXlsFdS3Xt",,1315706973661265920,,,1969,2020-10-13 01:32:41,15431,3195,1,939091,"President of the United States, husband to @DrBiden, proud father & grandfather. Ready to build back better for all Americans.",28199781,46,2007-03-12 01:51:24,"Wilmington, DE"
Jeff Sessions,https://twitter.com/jeffsessions,"I'm issuing a new and bold strategic plan today - Betting on America: Standing Up to China¡¯s Cold-Blooded Drive for Power. 

The Coronavirus pandemic makes clear how deceitful, brutal, and ruthless the godless communist Chinese government is. This should be a wake-up call. https://t.co/KaGhW3imDX",,1244979731617001474,['http://pbs.twimg.com/ext_tw_video_thumb/1244979630760738818/pu/img/H3gPsmQg0HfJ45jV.jpg'],https://twitter.com/jeffsessions/status/1244979731617001474/video/1,301,2020-03-31 21:27:53,2556,978,1,986781648,Official campaign account for Friends of Sessions Senate Committee,75807,100,2012-12-03 22:59:34,"Montgomery, AL"
__LALISANATION__,https://twitter.com/lalisanation_,"I'm living in China, The situation here is worsening and it'll be a couple of days till #CoronaVirus hit my province too.  
So far my province (Zhejiang) and The province Lisa is staying (Guangdong) is kind of Safe for now.
Please include us in your prayers",,1220339142866788358,,,138,2020-01-23 21:34:59,1930,639,0,345906533,"""If you mad stay mad, we not alike"" - PRETTY SAVAGE LISA",5950,116,2011-07-31 19:18:18,LalalaLisaLand
victor maledew,https://twitter.com/VMaledew,"I'm not a conspiracy nut, I haven't got time, But when something slaps me round the face i take note as with this so called virus. We know it was deliberate to bring down @realDonaldTrump  BUT WHO BY?
Who had the most to gain? we know china and america's dark side

WHO ELSE? ",,1326124693573808134,,,104,2020-11-10 19:28:59,574,115,0,7.79307E+17,"Proud father of 7 & 9 Grand children. Don't take no bullshit, say what I think, but my mother says I'm a nice boy. ~100% Behind Donald Trump and Brexit",17946,17776,2016-09-23 21:10:06,"South East, England"
Prof. Devi Sridhar,https://twitter.com/devisridhar,"I'm reading through the released SAGE minutes from Feb/March &amp; oh wow- some of the conclusions they reached were way off. 8th SAGE meeting: 'When there is sustained transmission in the UK, contact tracing will no longer be useful.'  https://t.co/JVdgjS1wIf",,1266418899408519168,,,228,2020-05-30 01:19:29,3195,2087,1,174151902,"Professor & Chair of Global Public Health, Edinburgh Uni Med School. Director of @GlobalHealthGP. Views own. __",274830,497,2010-08-03 14:34:56,"Edin, Oxford, Wash DC, Miami"
Miguel Veterbo Mori Jr.,https://twitter.com/are_u_alone,"I'm sorry but I blamed Duterte and the Government for this mess. If you banned China earlier this wouldn't happen, you put the Philippines in risk how could you. And to DOH stop acting like it's fine because it's not. This coronavirus nCov is deadly.
#coronavirus
#coronavirusPH https://t.co/Y8lrrhaEqd",,1222811320317181952,['http://pbs.twimg.com/media/EPhMZ_hVUAERIdp.jpg'],,148,2020-01-30 17:18:32,13993,6741,0,2459227957,"UNQUALIFIED ADMIRATION MAY NOT BE EVERYONE'S VERDICT, BUT AS A WHOLE IT CERTAINLY EXCITES WONDER.",171,48,2014-04-23 13:05:53,anywhere 
thebradfordfile,https://twitter.com/thebradfordfile,"I'm voting for @realDonaldTrump because the virus proves he was right about China, manufacturing, globalism, jobs, trade, immigration, borders, and just about everything else.",,1264370886737526785,,,185,2020-05-24 09:41:24,9449,3033,0,3406938525,liberal hypocrisy is a disease,239839,1229,2015-08-07 17:28:17,America
Emerald Robinson __,https://twitter.com/EmeraldRobinson,"I've been warning the public about coronavirus since the very beginning. 

And the response was: ""it's just the flu.""

Now that China has shut down for two months &amp; our supply chains are disrupted &amp; the stock market has ""corrected"" does anyone still think it's just the flu?",,1233830336506802184,,,350,2020-03-01 03:04:10,954,187,1,3932768472,"@Newsmax White House Correspondent. ""Politics is downstream of culture & culture is downstream of religion.""",343782,9176,2015-10-18 13:57:46,Washington D.C.
Greg Sargent,https://twitter.com/ThePlumLineGS,"I've compiled a side-by-side comparison of the reaction to coronavirus by Trump and the World Health Organization.

The timeline is utterly, comprehensively damning to Trump. 

What it shows about him is far worse than what it shows about WHO.

New piece:
https://t.co/ujv6EVqIEr",,1250431172405907456,,,284,2020-04-15 22:29:58,11330,7168,1,20508720,"A blog about politics, politics, and politics",303254,3610,2009-02-10 20:04:17,
Rep. Steve Womack,https://twitter.com/rep_stevewomack,ICYMI: House Dems voted against an amendment to sanction China for trying to hack America¡¯s COVID-19 vaccine research. The CCP is constantly trying to steal proprietary info. Why are some voting against holding them accountable? This isn't political. It's about national security.,,1285934819218792448,,,136,2020-07-22 21:48:47,1250,502,1,234469322,Proud to serve the folks of Arkansas's 3rd District. Member of @HouseAppropsGOP.,24248,1710,2011-01-06 02:53:03,Arkansas's 3rd District
Senator Thom Tillis,https://twitter.com/SenThomTillis,"ICYMI: My op-ed on holding China accountable for #COVID19 and protecting America¡¯s economy, public health, and national security from threats posed by the Chinese government.
https://t.co/DehcqCQJvo",,1261695405336731649,,,208,2020-05-17 00:30:00,684,589,1,2964174789,Official Twitter account of North Carolina U.S. Senator Thom Tillis.,116845,4362,2015-01-06 22:22:18,"North Carolina, USA"
Francis Baraan IV,https://twitter.com/MrFrankBaraan,"IMELDA PAPIN IS CANCELLED.

Propaganda again from ANOTHER LADY CALLED IMELDA!

Do the Chinese &amp; Papin want to thank COVID19 frontliners? Or do they want us to forget that China ""stole"" our seas¡ªw/ Gongdi's complicity?

EXCUSE ME! WALANG 'IISANG DAGAT'¡ªTHERE'S ONLY 1 WEST PH SEA! https://t.co/Vwl5rqQb8x",,1253940208573136896,"['http://pbs.twimg.com/media/EWbj9KVUwAEYiGC.jpg', 'http://pbs.twimg.com/media/EWbj91WU0AAPjdF.jpg']",,124,2020-04-25 14:53:37,2724,618,1,486191342,"Human Rights Defender | Mental Health, LGBT Advocate | Hotelier | Entrepreneur | Columist @thephilbiznews, @squeezeph | GM @sirombeachhouse | 2020 TOYM Finalist",111707,61393,2012-02-08 09:14:06,Republic of the Philippines
Sara Cook,https://twitter.com/saraecook,"INBOX: President Trump has issued a proclamation lifting COVID-19 travel restrictions barring entry to the US of foreign nationals from the UK, Ireland, much of Europe, and Brazil effective January 26 at 12:01 am. https://t.co/5DfsY2evPm",,1351318241042432002,"['http://pbs.twimg.com/media/EsDYlunW8AE-UeS.png', 'http://pbs.twimg.com/media/EsDYw8yXcAEg8DZ.png']",,107,2021-01-19 07:59:09,213,106,1,514002030,"White House Producer for @CBSNews; @TakeoutPodcast & @TheDebriefCBS Producer. Formerly @NHK_News. Travel junkie, avocado lover. DM for Signal/WhatsApp",16795,2101,2012-03-04 13:58:17,"Washington, DC"
Juanita Broaddrick,https://twitter.com/atensnut,"INSANE: Joe Biden Signs Executive Order Banning the Term ""China Virus"" https://t.co/IvKcYJjXK4",,1354444068688945152,,,2316,2021-01-27 23:00:04,8032,3386,0,22677397,"Author, ""You'd Better Put Some Ice On That"" retired RN & business owner, SPEAKER, PROUD TRUMP SUPPORTER",429938,4631,2009-03-04 04:52:40,"Fort Smith, Arkansas"
Tea Pain,https://twitter.com/TeaPainUSA,"IRONY IS DEAD:  Mike Pompeo just criticized China for ""hiding"" the Coronavirus from us.  

Trump was briefed on #COVID19 in December 2019 and hid it from the American people.",,1241045955098615809,,,489,2020-03-21 00:56:27,24418,9646,0,2421067430,"Democracy Savage - Born Thomas Elmer Addison Pain - July 4th, 1976",699708,123160,2014-04-01 05:05:45,"Gizzard Ridge, AR"
Trish Regan,https://twitter.com/trish_regan,"If #China, indeed, LIED and was, in fact, responsible for the release of this virus by way of their labs...?! There will be massive consequences. It¡¯s time China come clean and let US intelligence know EVERYTHING as it pertains to china¡¯s role in this pandemic.",,1251307066532265987,,,890,2020-04-18 08:30:27,10605,2947,1,138182116,"Award winning journalist, Fearless defender of TRUTH. PROUD FREEDOM-LOVING CAPITALIST https://t.co/82YJTHXcEo Get my DAILY pod here: https://t.co/bDDmnld7sF",684076,1435,2010-04-29 05:21:09,NYC
Gigameg,https://twitter.com/dadetrading,"If #coronavirus isn¡¯t such a big deal, then why are Italian authorities scanning every single passenger landing in the country? 

And why are we still allowing Flights originating from China to land in the US ?

Something ain¡¯t right. 

 https://t.co/nroqZC4rKF",,1221973312898646016,['http://pbs.twimg.com/ext_tw_video_thumb/1221696919199678464/pu/img/cF8rGuFaGczWxgRJ.jpg'],,635,2020-01-28 09:48:35,110186,36450,0,9.7338E+17,"¡°Be excellent to each other¡± Random thoughts, tangents, smack talk, cryptocurrency trading journal. Probably will be cancelled soon.",1929,774,2018-03-13 10:07:21,U.S.A.
Donvan,https://twitter.com/DonvanAlFayeed,If 239 passengers who disembarked from southern China airline are free from Corona virus they should be taken to state house to greet our beloved president first.#coronavirusInkenya https://t.co/tTOhPw1qlL,,1233256264848769024,['http://pbs.twimg.com/media/ER1oCPJXYAIZ32Z.jpg'],,164,2020-02-28 13:03:00,3931,1197,0,241875358,Tech Enthusiast | Technologist,3324,3240,2011-01-23 18:37:17,Kenya
Sen. Marsha Blackburn,https://twitter.com/MarshaBlackburn,"If Beijing thought their claim in the South China Sea was legitimate, they wouldn¡¯t extort countries to recognize their claim by dangling a COVID-19 vaccine. 
https://t.co/2ItMAa2fYn",,1296115915336097795,,,114,2020-08-20 00:04:49,652,431,1,278145569,I am honored to serve the people of Tennessee.,289154,2184,2011-04-07 02:05:33,"Brentwood, TN"
Neil Rogers,https://twitter.com/ncr16,"If COVID-19 is so lethal, why has China had so few deaths?
4633 deaths in a population of 1,400,000,000. Total case of COVID-19 in China 82,875.
It really doesn't make sense: does it?",,1256481057437818884,,,770,2020-05-02 15:10:03,1105,282,0,229446071,I accept no responsibility for the accuracy of my Tweets & Retweets. Retired Chemical Engineer with deep rooted mistrust of politicians. Admires Thomas Sowell,1078,756,2010-12-22 20:23:20,
Meenakashi Lekhi,https://twitter.com/M_Lekhi,"If China after attacking the world with Wuhan Virus continues with its belligerent style &amp; violent conduct, it¡¯s time that global powers give it a lesson or two by recognising Tibet, Hong Kong, Taiwan etc of their suzerainty. https://t.co/VUhfC9usOq",,1310959942283784192,['http://pbs.twimg.com/media/EjF3G5KX0AMHVYy.jpg'],,129,2020-09-29 23:09:41,1543,492,1,373410448,"Lawyer. Social Activist. Member of Parliament, New Delhi LS Constituency. Chairperson,Standing Committee on Public Sector Enterprise",1712407,385,2011-09-14 22:46:13,Delhi
